                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.55761,                0.85732,                0.37061,                0.91587,                0.99318,                0.99112,                0.99472,                 0.9218,                 0.9928,                0.99087,                 0.9944,                0.82585,                0.38335,                 0.5673,                0.25872,                0.86661,               0.007624,               0.007624,               0.007624
                     74,                0.55426,                0.85164,                0.37091,                0.92022,                0.99399,                0.99028,                0.99478,                0.92007,                0.99393,                0.98721,                0.99475,                0.81999,                0.38764,                0.56577,                 0.2605,                0.86806,               0.007591,               0.007591,               0.007591
                     75,                0.55293,                0.85762,                0.36756,                0.91962,                0.99339,                0.99223,                0.99481,                0.91972,                0.99242,                0.99126,                0.99467,                0.82266,                0.39025,                0.56348,                0.26063,                0.86863,               0.007558,               0.007558,               0.007558
                     76,                0.54484,                0.83301,                0.36259,                0.91304,                0.99358,                0.99087,                0.99484,                0.92023,                0.99276,                0.99009,                0.99469,                0.82517,                0.38538,                0.56258,                0.25237,                0.86951,               0.007525,               0.007525,               0.007525
                     77,                0.54945,                0.84508,                0.36503,                0.91785,                0.99552,                0.99227,                0.99486,                0.92246,                0.99356,                0.99004,                0.99471,                0.82747,                0.37892,                0.55925,                0.25246,                0.86475,               0.007492,               0.007492,               0.007492
                     78,                0.55011,                0.84387,                0.36469,                0.91462,                0.99455,                0.99359,                0.99476,                0.92151,                0.99299,                0.99165,                0.99468,                0.82546,                0.38087,                0.55318,                0.25403,                0.86391,               0.007459,               0.007459,               0.007459
                     79,                0.54195,                0.83134,                0.36269,                0.91294,                0.99459,                0.99339,                0.99478,                0.92154,                0.99286,                0.99126,                 0.9946,                0.82553,                0.37898,                0.55087,                0.25139,                0.86388,               0.007426,               0.007426,               0.007426
                     80,                0.54248,                0.83488,                0.35999,                0.91445,                 0.9959,                0.99104,                0.99492,                 0.9242,                0.99437,                0.98931,                0.99467,                0.82922,                0.37604,                 0.5476,                0.24921,                0.86568,               0.007393,               0.007393,               0.007393
                     81,                0.53796,                0.82856,                0.35682,                0.91135,                0.99552,                0.99352,                0.99488,                0.92656,                0.99377,                0.99177,                0.99462,                 0.8282,                0.37213,                0.54684,                0.24631,                0.86368,                0.00736,                0.00736,                0.00736
                     82,                0.54328,                0.83398,                0.35655,                0.91437,                0.99468,                0.99339,                0.99488,                 0.9256,                0.99358,                0.99197,                 0.9947,                0.82988,                0.37456,                 0.5408,                 0.2475,                0.86342,               0.007327,               0.007327,               0.007327
